east,north,m1Tmax,m2Tmax,m3Tmax,m4Tmax,m5Tmax,m6Tmax,m7Tmax,m8Tmax,m9Tmax,m10Tmax,m11Tmax,m12Tmax,ANN,DJF,MAM,JJA,SON,Test01
281000,163000,10.1,10,11.2,12.4,14.4,15.8,17.1,17.6,17,14.7,12.2,10.8,13.5,10.3,12.7,16.8,14.6,Carlow
248000,301000,8.6,8.6,10,11.4,13.4,14.8,16,16.5,15.8,13.3,10.8,9.4,12.4,8.9,11.6,15.8,13.3,Cavan
137000,185000,9.3,9.3,10.7,12,14.1,15.5,16.7,17.2,16.5,14,11.5,10,13,9.5,12.3,16.5,14,Clare
160000,80000,8.5,8.4,9.8,11.2,13.3,14.7,15.9,16.4,15.7,13.1,10.7,9.2,12.2,8.7,11.4,15.7,13.2,Cork
205000,417000,9.9,9.9,11.2,12.7,14.8,16.1,17.3,17.8,17,14.5,12.1,10.5,13.7,10.1,12.9,17.1,14.5,Donegal
315000,235000,9.7,9.7,11,12.6,14.7,16.2,17.4,17.8,16.9,14.3,11.8,10.3,13.5,9.9,12.8,17.1,14.3,Dublin
142000,243000,8.9,8.9,10.2,11.7,13.9,15.3,16.6,17,16.1,13.6,11,9.5,12.7,9.1,11.9,16.3,13.6,Galway
90000,107000,9.2,9.2,10.5,11.9,14.1,15.6,16.8,17.3,16.3,13.8,11.3,9.8,13,9.4,12.2,16.6,13.8,Kerry
281000,220000,8.5,8.5,9.8,11.3,13.4,14.9,16.1,16.6,15.6,13.1,10.6,9.1,12.3,8.7,11.5,15.9,13.1,Kildare
257000,146000,9.5,9.5,10.8,12.4,14.6,16,17.2,17.7,16.7,14.1,11.6,10.1,13.3,9.7,12.6,17,14.1,Kilkenny
247000,197000,9.6,9.7,11,12.5,14.7,16.1,17.4,17.8,16.8,14.2,11.7,10.3,13.6,9.9,12.7,17.1,14.2,Laoighis
190000,335000,9,9.1,10.4,11.9,14.1,15.5,16.8,17.3,16.2,13.7,11.2,9.7,13,9.3,12.1,16.5,13.7,Leitrim
139000,141000,9.7,9.7,11,12.5,14.8,16.2,17.5,17.9,16.8,14.3,11.8,10.3,13.6,9.9,12.8,17.2,14.3,Limerick
222000,271000,9.8,9.8,11.1,12.7,14.9,16.4,17.6,18,16.9,14.4,11.9,10.4,13.7,10,12.9,17.3,14.4,Longford
302000,295000,9.4,9.5,10.7,12.4,14.5,16,17.2,17.7,16.7,14,11.5,10.1,13.4,9.7,12.5,17,14.1,Louth
111000,301000,9,9.1,10.3,11.6,13.8,15.3,16.6,16.9,16.1,13.7,11.2,9.8,12.8,9.3,11.9,16.3,13.7,Mayo
289000,260000,9.5,9.5,10.8,12.2,14.4,15.9,17.1,17.6,16.6,14.2,11.6,10,13.3,9.7,12.5,16.9,14.1,Meath
268000,326000,7.5,7.5,8.8,10.4,12.5,14,15.2,15.7,14.7,12.2,9.7,8.1,11.3,7.7,10.6,15,12.2,Monaghan
224000,223000,6.9,6.9,8.2,9.7,11.9,13.3,14.7,15,14,11.5,9,7.4,10.8,7.1,9.9,14.3,11.5,Offaly
181000,281000,8.3,8.3,9.6,11.2,13.4,14.9,16.1,16.6,15.5,12.9,10.4,8.9,12.3,8.5,11.4,15.9,12.9,Roscommon
159000,322000,8.9,8.8,10.1,11.7,13.9,15.4,16.6,17.1,16,13.4,10.9,9.4,12.7,9,11.9,16.4,13.4,Sligo
206000,151000,8.8,8.8,10,11.6,13.8,15.3,16.5,17,16,13.3,10.8,9.3,12.7,9,11.8,16.3,13.4,Tipperary
233000,106000,8.9,8.9,10.1,11.7,14,15.4,16.6,17.1,16,13.4,10.9,9.4,12.7,9.1,11.9,16.4,13.4,Waterford
243000,252000,9.8,9.8,11,12.7,14.9,16.3,17.5,18,16.9,14.3,11.8,10.4,13.6,10,12.9,17.3,14.3,Westmeath
300000,135000,9.9,9.9,11.2,12.8,15.1,16.5,17.8,18.1,17.1,14.4,11.9,10.5,13.8,10.1,13,17.5,14.5,Wexford
316000,198000,9.9,9.9,11.2,12.8,15.1,16.5,17.8,18.1,17.1,14.4,11.9,10.5,13.8,10.1,13,17.5,14.5,Wicklow
